ItemID	SentimentText	Sentiment
265	   IN an effort to bring you the best content we just added at lease 30 hours to the release of The digital Rapture.  soon... hang tight	0
266	  --- is our response to what happened today. and that is all.	0
267	"   J, you are right... it hurts."	0
268	"   kinda but not really, but kinda "	0
269	"   let's have a moment of silence for our childhood homes... sadly, it can't be replaced and we can never go back"	0
270	   lol all these #robotpickuplines are hilarious 	1
271	"   man, oh man     (i should punch myself in the head, but im ok with that)"	1
272	"   my friends can get with ur friends and we can all b friends, shit, we could do this every weeknd.. Aiigght?  with coop n the crew"	1
273	"   No man is worth your tears, and the one that is won't make you cry!"	0
274	   rain rain go away!	0
275	   storms are scary!	0
276	   such a beautiful satisfying day of bargain shopping. loves it.	1
277	   Tell those girls your clocking out lol	0
278	   thank god today is friday !!! I love Ti Ti! &lt;3	1
279	   the batt to my internet connection died.  Guess its back to the mobile!	0
280	   thrilled about being at work this morning   	1
281	   we break dance not hearts by Short Stack is my ringtone.... i LOVE that song!!!.....	1
282	   www.apple.com/iphone now has it for the 18th   	0
283	  #squarespace #trackle  no apple iphone card for us  maybe tomorrow! I guess it helps if you tweet it huh?  We forgot 	0
284	  (unsure)  (hassle)  (:  (music) http://plurk.com/p/yq08l	0
285	                                           exhausted	0
286	          i want some ben&amp;jerrys cake batter please ugh	0
287	          my life is very lazzzzyyyy!!!!!!!            ***********	1
288	"        wish ella was on or somebody,,,,"	0
289	       ish in a good mood .....tlk to me	1
290	      i think i'm going to go 3 a long drive then when i get to the pacific ocean open my car door and throw my pc in the ocean	0
291	      what the hell BBC?	0
292	     #canucks	0
293	     I dont like this weekend.. Huhuhu ( (	0
294	     I'll get on it right away!	0
295	-     J + A MADE NiCE..... TWiCE!                     for now ;]	1
296	     loves life atm!   its brilliant XD	1
297	     who else is in a happy mood?? =D	1
298	    !BYE EVERYONE!   	1
299	    ...lonely night	0
